click_number,timestamp,relative_time_ms,delay_ms,button,click_type
1,1786140325.996286,0.0,0.0,left,single-click
2,1786140326.029948,33.662,33.662,left,double-click
3,1786140326.094013,97.728,64.065,left,single-click
4,1786140326.237974,241.688,143.961,left,single-click
5,1786140326.332033,335.747,94.059,left,single-click
6,1786140326.365918,369.632,33.885,left,double-click
7,1786140326.47298,476.694,107.061,left,single-click
8,1786140326.571996,575.71,99.016,left,single-click
9,1786140326.606108,609.823,34.112,left,double-click
10,1786140326.684212,687.926,78.103,left,single-click
11,1786140326.774278,777.992,90.066,left,single-click
12,1786140326.918038,921.752,143.76,left,single-click
13,1786140327.015056,1018.771,97.018,left,single-click
14,1786140327.049303,1053.017,34.246,left,double-click
15,1786140327.13896,1142.674,89.658,left,single-click
16,1786140327.235232,1238.946,96.272,left,single-click
17,1786140327.390986,1394.7,155.754,left,single-click
18,1786140327.490245,1493.96,99.259,left,single-click
19,1786140327.524133,1527.847,33.888,left,double-click
20,1786140327.633483,1637.197,109.35,left,single-click
21,1786140327.719976,1723.69,86.493,left,single-click
22,1786140327.754137,1757.852,34.161,left,double-click
23,1786140327.886995,1890.709,132.857,left,single-click
24,1786140327.980172,1983.887,93.178,left,single-click
25,1786140328.014015,2017.729,33.842,left,double-click
26,1786140328.110451,2114.166,96.437,left,single-click
27,1786140328.205023,2208.737,94.572,left,single-click
28,1786140328.356117,2359.831,151.094,left,single-click
29,1786140328.455109,2458.824,98.992,left,single-click
30,1786140328.488998,2492.712,33.889,left,double-click
31,1786140328.618,2621.715,129.002,left,single-click
32,1786140328.702072,2705.786,84.072,left,single-click
33,1786140328.736,2739.714,33.928,left,double-click
34,1786140328.858056,2861.77,122.056,left,single-click
35,1786140328.952668,2956.382,94.612,left,single-click
36,1786140328.986153,2989.867,33.485,left,double-click
37,1786140329.103367,3107.082,117.214,left,single-click
38,1786140329.193249,3196.964,89.882,left,single-click
39,1786140329.351361,3355.075,158.112,left,single-click
40,1786140329.442094,3445.809,90.733,left,single-click
41,1786140329.476278,3479.992,34.184,left,double-click
42,1786140329.605181,3608.895,128.902,left,single-click
43,1786140329.639109,3642.824,33.929,left,double-click
44,1786140329.694166,3697.88,55.057,left,single-click
45,1786140329.729265,3732.979,35.099,left,double-click
46,1786140329.87452,3878.234,145.255,left,single-click
47,1786140329.959358,3963.072,84.838,left,single-click
48,1786140329.993358,3997.072,34.0,left,double-click
49,1786140330.123261,4126.976,129.904,left,single-click
50,1786140330.214156,4217.871,90.895,left,single-click
51,1786140330.249623,4253.337,35.466,left,double-click
52,1786140330.385289,4389.004,135.666,left,single-click
53,1786140330.419793,4423.507,34.504,left,double-click
54,1786140330.46913,4472.845,49.337,left,double-click
55,1786140330.503259,4506.974,34.129,left,double-click
56,1786140330.659175,4662.89,155.916,left,single-click
57,1786140330.734755,4738.469,75.579,left,single-click
58,1786140330.768372,4772.086,33.617,left,double-click
59,1786140330.896364,4900.078,127.992,left,single-click
60,1786140330.983622,4987.336,87.258,left,single-click
