click_number,timestamp,relative_time_ms,delay_ms,hold_ms,button,click_type
1,1786146413.490074,0.0,0.0,27.892,left,single-click
2,1786146413.632014,141.94,141.94,56.986,left,single-click
3,1786146413.810439,320.365,178.425,61.553,left,single-click
4,1786146413.973377,483.302,162.938,62.694,left,single-click
5,1786146414.153152,663.077,179.775,58.826,left,single-click
6,1786146414.325978,835.904,172.826,57.029,left,single-click
7,1786146414.498967,1008.893,172.989,69.131,left,single-click
8,1786146414.671117,1181.042,172.15,90.888,left,single-click
9,1786146414.870282,1380.208,199.165,51.731,left,single-click
10,1786146415.045989,1555.915,175.707,59.471,left,single-click
11,1786146415.229992,1739.918,184.003,68.015,left,single-click
12,1786146415.408078,1918.004,178.086,60.996,left,single-click
13,1786146415.580068,2089.994,171.99,70.97,left,single-click
14,1786146415.76919,2279.116,189.122,68.917,left,single-click
15,1786146415.924976,2434.902,155.786,96.113,left,single-click
16,1786146416.113983,2623.909,189.007,63.063,left,single-click
17,1786146416.283998,2793.924,170.015,64.08,left,single-click
18,1786146416.457024,2966.95,173.026,75.978,left,single-click
19,1786146416.627002,3136.928,169.978,80.029,left,single-click
20,1786146416.794127,3304.052,167.125,92.901,left,single-click
21,1786146416.981094,3491.02,186.967,76.229,left,single-click
22,1786146417.146002,3655.927,164.908,81.03,left,single-click
23,1786146417.33202,3841.946,186.019,76.14,left,single-click
24,1786146417.523217,4033.143,191.196,62.185,left,single-click
25,1786146417.710141,4220.067,186.924,53.094,left,single-click
26,1786146417.886226,4396.152,176.085,65.051,left,single-click
27,1786146418.046315,4556.241,160.089,218.901,left,single-click
28,1786146418.379194,4889.12,332.879,73.514,left,single-click
29,1786146418.563231,5073.157,184.037,80.539,left,single-click
30,1786146418.738685,5248.61,175.454,86.133,left,single-click
31,1786146418.917711,5427.636,179.026,66.078,left,single-click
32,1786146419.09069,5600.616,172.98,93.061,left,single-click
33,1786146419.25268,5762.606,161.99,102.208,left,single-click
34,1786146419.456689,5966.615,204.009,98.468,left,single-click
35,1786146419.668685,6178.611,211.996,62.129,left,single-click
36,1786146419.841779,6351.705,173.094,76.045,left,single-click
37,1786146420.023706,6533.632,181.926,106.019,left,single-click
38,1786146420.18668,6696.606,162.974,78.027,left,single-click
39,1786146420.373725,6883.651,187.045,90.221,left,single-click
40,1786146420.571728,7081.654,198.003,67.021,left,single-click
41,1786146420.740778,7250.704,169.05,86.157,left,single-click
42,1786146420.907744,7417.67,166.966,71.013,left,single-click
43,1786146421.077812,7587.738,170.068,85.02,left,single-click
44,1786146421.235896,7745.822,158.084,110.186,left,single-click
45,1786146421.436099,7946.024,200.202,102.764,left,single-click
46,1786146421.599867,8109.792,163.768,65.971,left,single-click
47,1786146421.769739,8279.665,169.872,61.213,left,single-click
48,1786146421.953743,8463.669,184.004,40.013,left,single-click
49,1786146422.080827,8590.752,127.083,128.922,left,single-click
50,1786146422.299738,8809.664,218.912,85.157,left,single-click
51,1786146422.491882,9001.808,192.144,72.906,left,single-click
52,1786146422.666816,9176.742,174.934,70.965,left,single-click
53,1786146422.854091,9364.017,187.275,53.695,left,single-click
54,1786146423.011771,9521.697,157.679,158.035,left,single-click
55,1786146423.266788,9776.713,255.017,69.104,left,single-click
56,1786146423.429821,9939.747,163.034,82.969,left,single-click
57,1786146423.586731,10096.657,156.91,73.078,left,single-click
58,1786146423.77474,10284.666,188.009,51.124,left,single-click
59,1786146423.926219,10436.144,151.478,68.58,left,single-click
60,1786146424.103769,10613.695,177.551,75.039,left,single-click
61,1786146424.292807,10802.733,189.038,54.084,left,single-click
62,1786146424.463878,10973.804,171.071,51.934,left,single-click
63,1786146424.633863,11143.789,169.985,60.913,left,single-click
64,1786146424.791127,11301.053,157.264,67.048,left,single-click
65,1786146424.981933,11491.859,190.806,63.897,left,single-click
66,1786146425.163904,11673.83,181.971,65.033,left,single-click
67,1786146425.336339,11846.265,172.436,65.59,left,single-click
68,1786146425.506192,12016.118,169.853,91.764,left,single-click
69,1786146425.678934,12188.859,172.742,62.016,left,single-click
70,1786146425.847974,12357.9,169.041,77.504,left,single-click
71,1786146426.028952,12538.878,180.978,58.048,left,single-click
72,1786146426.187928,12697.854,158.976,63.148,left,single-click
73,1786146426.361096,12871.022,173.168,61.836,left,single-click
74,1786146426.517962,13027.888,156.866,61.007,left,single-click
75,1786146426.685934,13195.859,167.972,53.014,left,single-click
76,1786146426.802946,13312.872,117.013,78.14,left,single-click
77,1786146426.959952,13469.878,157.006,68.032,left,single-click
78,1786146427.135123,13645.049,175.171,66.877,left,single-click
79,1786146427.299052,13808.978,163.929,72.016,left,single-click
80,1786146427.455962,13965.888,156.91,82.991,left,single-click
81,1786146427.631462,14141.388,175.5,65.578,left,single-click
82,1786146427.784129,14294.055,152.667,62.983,left,single-click
83,1786146427.932932,14442.858,148.803,81.081,left,single-click
84,1786146428.092947,14602.873,160.015,89.045,left,single-click
85,1786146428.258966,14768.892,166.018,54.011,left,single-click
86,1786146428.441038,14950.964,182.072,38.369,left,single-click
87,1786146428.676979,15186.904,235.94,62.115,left,single-click
88,1786146428.841104,15351.03,164.125,81.985,left,single-click
89,1786146429.022096,15532.022,180.992,221.902,left,single-click
90,1786146429.35501,15864.936,332.914,80.007,left,single-click
91,1786146429.548188,16058.114,193.178,124.837,left,single-click
92,1786146429.770037,16279.963,221.848,73.09,left,single-click
93,1786146429.939007,16448.933,168.97,96.005,left,single-click
94,1786146430.127275,16637.201,188.268,82.791,left,single-click
95,1786146430.321078,16831.003,193.803,71.961,left,single-click
96,1786146430.458321,16968.247,137.243,92.993,left,single-click
97,1786146430.658193,17168.119,199.872,94.868,left,single-click
98,1786146430.861011,17370.937,202.818,87.506,left,single-click
99,1786146431.035032,17544.957,174.021,75.071,left,single-click
100,1786146431.212018,17721.944,176.987,70.01,left,single-click
101,1786146431.401047,17910.973,189.028,115.018,left,single-click
102,1786146431.562068,18071.994,161.021,66.978,left,single-click
103,1786146431.710059,18219.985,147.991,78.19,left,single-click
104,1786146431.890312,18400.238,180.253,83.945,left,single-click
105,1786146432.058573,18568.499,168.262,89.596,left,single-click
106,1786146432.240158,18750.084,181.584,90.915,left,single-click
107,1786146432.445032,18954.958,204.874,62.053,left,single-click
108,1786146432.611094,19121.02,166.062,73.961,left,single-click
109,1786146432.802107,19312.033,191.013,72.001,left,single-click
110,1786146432.969115,19479.041,167.007,105.963,left,single-click
111,1786146433.146043,19655.968,176.928,57.172,left,single-click
112,1786146433.321245,19831.171,175.202,71.984,left,single-click
113,1786146433.496188,20006.114,174.943,72.114,left,single-click
114,1786146433.666489,20176.414,170.3,76.771,left,single-click
115,1786146433.846658,20356.583,180.169,75.655,left,single-click
116,1786146434.051431,20561.357,204.774,70.798,left,single-click
117,1786146434.224169,20734.095,172.738,63.202,left,single-click
118,1786146434.4052,20915.126,181.031,88.023,left,single-click
119,1786146434.60129,21111.216,196.09,93.932,left,single-click
120,1786146434.811263,21321.189,209.973,94.145,left,single-click
121,1786146435.023212,21533.138,211.949,95.026,left,single-click
122,1786146435.206189,21716.115,182.977,71.06,left,single-click
123,1786146435.385514,21895.44,179.325,76.725,left,single-click
124,1786146435.572219,22082.144,186.705,257.03,left,single-click
125,1786146435.965409,22475.335,393.19,68.837,left,single-click
126,1786146436.138297,22648.222,172.888,74.98,left,single-click
127,1786146436.30725,22817.176,168.953,57.16,left,single-click
128,1786146436.500296,23010.222,193.046,53.96,left,single-click
129,1786146436.678241,23188.166,177.944,71.194,left,single-click
130,1786146436.828604,23338.53,150.363,78.686,left,single-click
131,1786146437.008249,23518.174,179.645,65.002,left,single-click
132,1786146437.157266,23667.192,149.017,107.024,left,single-click
133,1786146437.320231,23830.157,162.966,91.113,left,single-click
134,1786146437.504277,24014.203,184.046,75.021,left,single-click
135,1786146437.681348,24191.274,177.071,70.972,left,single-click
136,1786146437.850263,24360.189,168.915,102.129,left,single-click
137,1786146438.014223,24524.149,163.96,82.269,left,single-click
138,1786146438.187246,24697.172,173.023,100.17,left,single-click
139,1786146438.414483,24924.409,227.237,79.982,left,single-click
140,1786146438.578272,25088.197,163.788,94.052,left,single-click
141,1786146438.758444,25268.37,180.172,78.007,left,single-click
142,1786146438.951313,25461.239,192.869,58.985,left,single-click
143,1786146439.109284,25619.21,157.971,100.164,left,single-click
144,1786146439.322316,25832.242,213.032,99.993,left,single-click
145,1786146439.526294,26036.22,203.978,120.006,left,single-click
146,1786146439.755607,26265.533,229.313,116.834,left,single-click
147,1786146439.979459,26489.384,223.852,104.965,left,single-click
148,1786146440.200352,26710.278,220.894,84.982,left,single-click
149,1786146440.40432,26914.246,203.968,82.024,left,single-click
150,1786146440.579454,27089.38,175.134,140.943,left,single-click
151,1786146440.823494,27333.42,244.041,91.891,left,single-click
152,1786146441.008452,27518.378,184.958,180.938,left,single-click
153,1786146441.288773,27798.699,280.321,99.747,left,single-click
154,1786146441.496524,28006.45,207.751,116.943,left,single-click
155,1786146441.708431,28218.357,211.907,91.142,left,single-click
156,1786146441.899659,28409.585,191.228,73.936,left,single-click
157,1786146442.064454,28574.38,164.795,69.045,left,single-click
158,1786146442.218439,28728.365,153.985,85.041,left,single-click
159,1786146442.379545,28889.471,161.107,69.912,left,single-click
160,1786146442.550486,29060.411,170.94,59.172,left,single-click
161,1786146442.72049,29230.415,170.004,64.103,left,single-click
162,1786146442.872532,29382.458,152.042,90.016,left,single-click
163,1786146443.031502,29541.428,158.97,74.08,left,single-click
164,1786146443.193497,29703.423,161.995,91.088,left,single-click
165,1786146443.361485,29871.411,167.988,49.252,left,single-click
166,1786146443.535479,30045.405,173.994,251.25,left,single-click
167,1786146443.846578,30356.504,311.099,110.011,left,single-click
168,1786146444.025503,30535.429,178.925,93.404,left,single-click
169,1786146444.188578,30698.503,163.075,113.972,left,single-click
170,1786146444.348573,30858.499,159.996,226.308,left,single-click
171,1786146444.666608,31176.534,318.035,88.968,left,single-click
172,1786146444.870983,31380.909,204.375,212.647,left,single-click
173,1786146445.190519,31700.445,319.536,83.158,left,single-click
174,1786146445.393534,31903.46,203.015,54.008,left,single-click
175,1786146445.560535,32070.461,167.001,61.978,left,single-click
176,1786146445.725861,32235.786,165.326,71.69,left,single-click
177,1786146445.889563,32399.489,163.703,62.2,left,single-click
178,1786146446.061573,32571.498,172.009,71.015,left,single-click
179,1786146446.203676,32713.602,142.103,78.9,left,single-click
180,1786146446.396539,32906.465,192.863,72.064,left,single-click
181,1786146446.56354,33073.466,167.001,71.021,left,single-click
182,1786146446.75072,33260.646,187.18,67.907,left,single-click
183,1786146446.918559,33428.485,167.839,73.086,left,single-click
184,1786146447.081571,33591.496,163.012,97.022,left,single-click
185,1786146447.273778,33783.704,192.208,75.803,left,single-click
186,1786146447.438691,33948.617,164.913,71.952,left,single-click
187,1786146447.619564,34129.489,180.872,82.067,left,single-click
188,1786146447.808641,34318.567,189.078,72.031,left,single-click
189,1786146447.957727,34467.653,149.086,92.108,left,single-click
190,1786146448.110636,34620.562,152.909,80.986,left,single-click
191,1786146448.291605,34801.531,180.969,81.99,left,single-click
192,1786146448.445985,34955.911,154.38,69.748,left,single-click
193,1786146448.592636,35102.562,146.651,91.003,left,single-click
194,1786146448.761645,35271.571,169.009,68.184,left,single-click
195,1786146448.889838,35399.764,128.192,74.796,left,single-click
196,1786146449.063756,35573.681,173.918,92.126,left,single-click
197,1786146449.226587,35736.512,162.831,77.229,left,single-click
198,1786146449.379703,35889.629,153.116,71.04,left,single-click
199,1786146449.502719,36012.645,123.016,82.134,left,single-click
200,1786146449.655682,36165.608,152.963,54.046,left,single-click
201,1786146449.812779,36322.705,157.097,36.992,left,single-click
202,1786146449.933873,36443.799,121.094,44.935,left,single-click
203,1786146450.067816,36577.742,133.943,49.953,left,single-click
204,1786146450.164768,36674.694,96.953,172.06,left,single-click
205,1786146450.471066,36980.991,306.297,84.723,left,single-click
206,1786146450.62572,37135.646,154.655,94.125,left,single-click
207,1786146450.82878,37338.706,203.06,97.209,left,single-click
208,1786146451.024735,37534.661,195.955,109.043,left,single-click
209,1786146451.208903,37718.829,184.168,71.893,left,single-click
210,1786146451.389762,37899.688,180.859,70.015,left,single-click
211,1786146451.560759,38070.684,170.996,98.01,left,single-click
212,1786146451.733742,38243.667,172.983,81.183,left,single-click
213,1786146451.895865,38405.791,162.123,69.924,left,single-click
214,1786146452.081842,38591.768,185.977,83.935,left,single-click
215,1786146452.258813,38768.739,176.97,79.987,left,single-click
216,1786146452.428066,38937.992,169.253,83.742,left,single-click
217,1786146452.617786,39127.712,189.721,46.09,left,single-click
218,1786146452.795897,39305.823,178.11,84.062,left,single-click
219,1786146452.953788,39463.714,157.891,119.008,left,single-click
220,1786146453.136083,39646.009,182.295,124.741,left,single-click
221,1786146453.381778,39891.703,245.694,60.053,left,single-click
222,1786146453.550778,40060.704,169.0,119.048,left,single-click
223,1786146453.719056,40228.982,168.278,94.824,left,single-click
224,1786146453.896782,40406.708,177.726,235.074,left,single-click
225,1786146454.233795,40743.721,337.013,87.036,left,single-click
226,1786146454.415946,40925.872,182.151,225.889,left,single-click
227,1786146454.744848,41254.773,328.902,80.516,left,single-click
228,1786146454.972821,41482.747,227.973,110.209,left,single-click
229,1786146455.171822,41681.748,199.001,60.018,left,single-click
230,1786146455.339828,41849.753,168.006,85.139,left,single-click
231,1786146455.486831,41996.757,147.004,103.001,left,single-click
